season,round,circuit_id,country,lat,long,date,url
2021,12,spa,Belgium,50.4372,5.97139,2021-08-29,http://en.wikipedia.org/wiki/2021_Belgian_Grand_Prix
2021,13,zandvoort,Netherlands,52.3888,4.54092,2021-09-05,http://en.wikipedia.org/wiki/2021_Dutch_Grand_Prix
2021,14,monza,Italy,45.6156,9.28111,2021-09-12,http://en.wikipedia.org/wiki/2021_Italian_Grand_Prix
2021,15,sochi,Russia,43.4057,39.9578,2021-09-26,http://en.wikipedia.org/wiki/2021_Russian_Grand_Prix
2021,16,istanbul,Turkey,40.9517,29.405,2021-10-10,http://en.wikipedia.org/wiki/2021_Turkish_Grand_Prix
2021,17,americas,USA,30.1328,-97.6411,2021-10-24,http://en.wikipedia.org/wiki/2021_United_States_Grand_Prix
2021,18,rodriguez,Mexico,19.4042,-99.0907,2021-11-07,http://en.wikipedia.org/wiki/2021_Mexican_Grand_Prix
2021,19,interlagos,Brazil,-23.7036,-46.6997,2021-11-14,http://en.wikipedia.org/wiki/2021_S%C3%A3o_Paulo_Grand_Prix
2021,20,losail,Qatar,25.49,51.4542,2021-11-21,http://en.wikipedia.org/wiki/2021_Qatar_Grand_Prix
2021,21,jeddah,Saudi Arabia,21.6319,39.1044,2021-12-05,http://en.wikipedia.org/wiki/2021_Saudi_Arabian_Grand_Prix
2021,22,yas_marina,UAE,24.4672,54.6031,2021-12-12,http://en.wikipedia.org/wiki/2021_Abu_Dhabi_Grand_Prix
