season,round,grid,circuit_id,driver,fastest_time,stage,q_delta
2014,19,4,yas_marina,massa,101.119,q3,0.6389999999999958
2014,19,5,yas_marina,kvyat,101.908,q3,1.4279999999999973
2014,19,6,yas_marina,button,101.964,q3,1.4839999999999947
2014,19,7,yas_marina,raikkonen,102.236,q3,1.7560000000000002
2014,19,8,yas_marina,alonso,102.866,q3,2.3859999999999957
2014,19,9,yas_marina,kevin_magnussen,102.198,q2,1.7179999999999893
2015,1,1,albert_park,hamilton,86.327,q3,0.0
2015,1,10,albert_park,maldonado,89.48,q3,3.153000000000006
2015,1,11,albert_park,nasr,88.8,q2,2.472999999999999
2015,1,12,albert_park,max_verstappen,88.868,q2,2.540999999999997
2015,1,13,albert_park,kvyat,89.07,q2,2.742999999999995
2015,1,14,albert_park,hulkenberg,89.208,q2,2.8810000000000002
2015,1,15,albert_park,perez,89.209,q2,2.882000000000005
2015,1,16,albert_park,ericsson,91.376,q1,5.049000000000007
2015,1,17,albert_park,button,91.422,q1,5.094999999999999
2015,1,18,albert_park,kevin_magnussen,92.037,q1,5.710000000000008
2015,1,2,albert_park,rosberg,86.921,q3,0.5940000000000083
2015,1,3,albert_park,massa,87.718,q3,1.3910000000000053
2015,1,4,albert_park,vettel,87.757,q3,1.4300000000000068
2015,1,5,albert_park,raikkonen,87.79,q3,1.463000000000008
2015,1,6,albert_park,bottas,88.087,q3,1.7600000000000051
2015,1,7,albert_park,ricciardo,88.329,q3,2.0019999999999953
2015,1,8,albert_park,sainz,88.51,q3,2.183000000000007
2015,1,9,albert_park,grosjean,88.56,q3,2.233000000000004
2015,2,1,sepang,hamilton,109.834,q3,0.0
2015,2,10,sepang,ericsson,113.261,q3,3.4269999999999925
2015,2,11,sepang,raikkonen,102.173,q2,-7.661000000000001
2015,2,12,sepang,maldonado,102.198,q2,-7.63600000000001
2015,2,13,sepang,hulkenberg,103.023,q2,-6.811000000000007
2015,2,14,sepang,perez,103.469,q2,-6.365000000000009
2015,2,15,sepang,sainz,103.701,q2,-6.13300000000001
2015,2,16,sepang,nasr,101.308,q1,-8.525999999999996
2015,2,17,sepang,button,101.636,q1,-8.198000000000008
