season,round,lap,driver,position,time
2017,6,31,ricciardo,5,1:16.821
2017,6,31,sainz,6,1:17.109
2017,6,31,grosjean,7,1:17.518
2017,6,31,kevin_magnussen,8,1:17.642
2017,6,31,kvyat,9,1:17.362
2017,6,31,hamilton,10,1:17.677
2017,6,31,vandoorne,11,1:17.523
2017,6,31,massa,12,1:17.671
2017,6,31,ocon,13,1:17.655
2017,6,31,jolyon_palmer,14,1:17.200
2017,6,31,stroll,15,1:18.101
2017,6,31,perez,16,1:18.163
2017,6,31,ericsson,17,1:17.736
2017,6,31,wehrlein,18,1:18.082
2017,6,31,button,19,1:18.287
2017,6,32,raikkonen,1,1:17.663
2017,6,32,vettel,2,1:17.052
2017,6,32,bottas,3,1:17.219
2017,6,32,ricciardo,4,1:16.884
2017,6,32,sainz,5,1:17.566
2017,6,32,max_verstappen,6,1:35.170
2017,6,32,grosjean,7,1:17.658
2017,6,32,kevin_magnussen,8,1:17.768
2017,6,32,kvyat,9,1:17.431
2017,6,32,hamilton,10,1:17.362
2017,6,32,vandoorne,11,1:17.366
2017,6,32,massa,12,1:17.944
2017,6,32,ocon,13,1:17.882
2017,6,32,jolyon_palmer,14,1:17.284
2017,6,32,stroll,15,1:17.799
2017,6,32,perez,16,1:17.895
2017,6,32,ericsson,17,1:17.775
2017,6,32,wehrlein,18,1:18.106
2017,6,32,button,19,1:17.712
2017,6,33,raikkonen,1,1:17.034
2017,6,33,vettel,2,1:17.188
2017,6,33,ricciardo,3,1:16.387
2017,6,33,sainz,4,1:17.889
2017,6,33,bottas,5,1:34.473
2017,6,33,max_verstappen,6,1:18.341
2017,6,33,grosjean,7,1:17.976
2017,6,33,kevin_magnussen,8,1:17.494
2017,6,33,kvyat,9,1:17.749
2017,6,33,hamilton,10,1:17.495
2017,6,33,vandoorne,11,1:17.540
2017,6,33,massa,12,1:18.231
2017,6,33,ocon,13,1:18.406
2017,6,33,jolyon_palmer,14,1:17.791
2017,6,33,stroll,15,1:17.941
2017,6,33,perez,16,1:17.770
2017,6,33,ericsson,17,1:17.714
2017,6,33,wehrlein,18,1:18.138
2017,6,33,button,19,1:18.269
2017,6,34,vettel,1,1:16.592
2017,6,34,ricciardo,2,1:16.117
